Event	ID	Name			Wwise Object Path	Notes
	98439365	Play_Player_Footsteps			\Default Work Unit\Play_Player_Footsteps	
	109592986	Base_Ambience_Play			\Default Work Unit\Base_Ambience_Play	
	112230054	Puzzle_3_Stop			\Default Work Unit\Puzzle_3_Stop	
	1364036739	Generator_Stop			\Default Work Unit\Generator_Stop	
	2222680430	Puzzle_3_Fail			\Default Work Unit\Puzzle_3_Fail	
	2509089944	PressurePlate			\Default Work Unit\PressurePlate	
	2723208622	Puzzle_3_Next_Step			\Default Work Unit\Puzzle_3_Next_Step	
	3157003241	Test			\Default Work Unit\Test	
	3228222034	Player_Radiation			\Default Work Unit\Player_Radiation	
	4275927813	Generator_Play			\Default Work Unit\Generator_Play	

Game Parameter	ID	Name			Wwise Object Path	Notes
	3880108918	RadioactiveLevel			\Default Work Unit\RadioactiveLevel	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	37583690	Amb_Drips_11	Z:\Volumes\Mac HDD 1\Dev\Unity Projects\NGJ22\WwiseProj\NGJ WwiseProject\.cache\Mac\SFX\Amb_Drips_11_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Base Ambience\Base Amb\Water Drips\Amb_Drips_11		61131
	37923433	RoomPuzzle_Glass_01	Z:\Volumes\Mac HDD 1\Dev\Unity Projects\NGJ22\WwiseProj\NGJ WwiseProject\.cache\Mac\SFX\RoomPuzzle_Glass_01_9EDFC787.wem		\Actor-Mixer Hierarchy\Default Work Unit\LevelEnv\Puzzle 3\RoomPuzzle\RoomPuzzle_Glass_01		61231
	46403890	PT_Sound	Z:\Volumes\Mac HDD 1\Dev\Unity Projects\NGJ22\WwiseProj\NGJ WwiseProject\.cache\Mac\SFX\PT_Motor_Loop_01_9EDFC787.wem		\Actor-Mixer Hierarchy\Default Work Unit\PT_Sound		861245
	64621800	Player_Cloth_07	Z:\Volumes\Mac HDD 1\Dev\Unity Projects\NGJ22\WwiseProj\NGJ WwiseProject\.cache\Mac\SFX\Player_Cloth_07_EBAAC015.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Player_Step\Player_Cloth\Player_Cloth_07		9602
	85011671	Footsteps_Dirt_Hard_06	Z:\Volumes\Mac HDD 1\Dev\Unity Projects\NGJ22\WwiseProj\NGJ WwiseProject\.cache\Mac\SFX\Footsteps_Dirt_Hard_06_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Player_Step\Footsteps\Player_Footsteps_Hard\Footsteps_Dirt_Hard_06		2436
	91398512	Player_Cloth_03	Z:\Volumes\Mac HDD 1\Dev\Unity Projects\NGJ22\WwiseProj\NGJ WwiseProject\.cache\Mac\SFX\Player_Cloth_03_EBAAC015.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Player_Step\Player_Cloth\Player_Cloth_03		10676
	126172336	Player_Cloth_06	Z:\Volumes\Mac HDD 1\Dev\Unity Projects\NGJ22\WwiseProj\NGJ WwiseProject\.cache\Mac\SFX\Player_Cloth_06_EBAAC015.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Player_Step\Player_Cloth\Player_Cloth_06		8876
	142471957	Player_Radiation_Tick_04	Z:\Volumes\Mac HDD 1\Dev\Unity Projects\NGJ22\WwiseProj\NGJ WwiseProject\.cache\Mac\SFX\Player_Radiation_Tick_04_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\LevelEnv\Puzzle 2\Player_Radiation\Player_Radiation_Tick\Player_Radiation_Tick_04		1294
	199245326	Amb_Drips_06	Z:\Volumes\Mac HDD 1\Dev\Unity Projects\NGJ22\WwiseProj\NGJ WwiseProject\.cache\Mac\SFX\Amb_Drips_06_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Base Ambience\Base Amb\Water Drips\Amb_Drips_06		41889
	201382558	Player_Radiation_Tick_08	Z:\Volumes\Mac HDD 1\Dev\Unity Projects\NGJ22\WwiseProj\NGJ WwiseProject\.cache\Mac\SFX\Player_Radiation_Tick_08_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\LevelEnv\Puzzle 2\Player_Radiation\Player_Radiation_Tick\Player_Radiation_Tick_08		1651
